PMID,Titulo,Autores,Periodico,Data_Publicacao,DOI,Tipo_Publicacao,MeSH_Terms,Resumo,URL
42268300,Comparative evaluation of generative AI models for chest radiograph report generation in the emergency department.,"Lim, Woo Hyeon; Lee, Ji Young; Lee, Jong Hyuk; Kim, Saehoon; Kim, Hyungjin",European radiology,2026 Jun 10,10.1007/s00330-026-12648-8,Journal Article,,"OBJECTIVES: To benchmark medical image-specific vision-language models (VLMs) against real-world radiologist-written reports, focusing on diagnostic quality, clinical acceptability, hallucinations, and language clarity. MATERIALS AND METHODS: This retrospective study included adult patients who presented to the emergency department of a tertiary center between January 2022 and April 2025 and underwent same-day chest radiograph (CXR) and CT for febrile or respiratory symptoms. Reports from five VLMs (AIRead, Lingshu, MAIRA-2, MedGemma, and MedVersa) and radiologist-written reports were randomly presented and blindly evaluated by three thoracic radiologists using four criteria: RADPEER, clinical acceptability, hallucination, and language clarity. Comparative performance was assessed using generalized linear mixed models, with radiologist-written reports treated as the reference. Finding-level analyses were also performed with CT as a reference. RESULTS: A total of 478 patients (median age, 67 years [interquartile range, 50-78]; 282 males [59.0%]) were included. AIRead demonstrated the lowest RADPEER 3b rate (5.3% [76/1434] vs radiologists 13.9% [200/1434]; p < 0.001) and the highest clinical acceptability (84.5% [1212/1434] vs radiologists 74.3% [1065/1434]; p < 0.001), with hallucination rates comparable to radiologists (0.3% [4/1425]) vs 0.1% [1/1425]; p = 0.21). Other VLMs showed higher disagreement (16.8-43.0%; p < 0.05), lower acceptability (41.1-71.4%; p < 0.05), and more frequent hallucinations (5.4-17.4%; p < 0.05). Language clarity was higher for several VLMs (AIRead, Lingshu, and MedVersa) than for radiologist-written reports (82.9-88.4% [1189-1268/1434] vs 78.1% [1120/1434]; p < 0.05). Finding-level analyses showed substantial variability in sensitivity across VLMs for common thoracic findings. CONCLUSION: Medical VLMs for CXR report generation exhibited variable performance in report quality and diagnostic measures. KEY POINTS: Question How do medical VLMs perform compared with radiologist-written reports regarding diagnostic quality, clinical acceptability, hallucinations, and language clarity for CXRs? Findings One non-open-source VLM achieved the lowest RADPEER 3b rate and highest acceptability with radiologist-level hallucinations, whereas other models showed inferior performance. Clinical relevance VLMs may support automated preliminary CXR reporting and serve as adjunct tools to enhance workflow efficiency and consistency. Although performance varied widely, carefully developed models approached radiologist-level quality, supporting continued refinement and targeted clinical integration.",https://pubmed.ncbi.nlm.nih.gov/42268300/
42251136,Prognostic data extraction harnessing a privacy-preserving large language model: a clinician-AI collaborative retrospective evaluation in head and neck oncology.,"Zou, Yujing; Rafiee Sevyeri, Laya; Farahnak, Farhood; Shenouda, George; Duclos, Marie; Yokoo Teodoro de Souza, Tomas; Sultanem, Khalil; Bagherzadeh, Parsa; Maleki, Farhad; A Enger, Shirin",NPJ precision oncology,2026 Jun 6,10.1038/s41698-026-01521-y,Journal Article,,"Privacy regulations and limited expert-validation constrain the deployment of large language models (LLMs) for electronic health record structuring. We evaluated locally deployed LLMs to extract 30 prognostic variables from 1,360 head and neck cancer reports (882 patients) using zero-shot prompting. A stratified 50-case subset was reviewed by three radiation oncologists (50 cases, 30 fields, 3 reviewers; 4,500 decisions) to form a majority-vote reference for Llama3.3-70B, which achieved 98.6% F1 with high clinician agreement and processed reports in 53 s/report. Among seven additional models (2.6B-70B) benchmarked against this reference, GPT-OSS-20.9B (F1 89.4%) and MedGemma-27B (F1 88.5%) performed best. Integrating LLM-extracted HPV status, smoking history, and Charlson Comorbidity Score into a multivariate Cox Proportional Hazards model (age, sex, T/N stage) improved disease-free survival (likelihood ratio test p = 0.014; DeltaC-index + 0.071) and locoregional failure-free survival (p = 0.026; DeltaC-index + 0.108) with 1,000-bootstrap internal validation. This clinician-AI collaborative evaluation shows that on-premises LLMs enable privacy-preserving and efficient tumour board support, longitudinal data curation, and outcome prediction.",https://pubmed.ncbi.nlm.nih.gov/42251136/
42233989,"Artificial intelligence in paediatric chest imaging: applications, challenges, and future directions.","Muringathuparambil, John Joseph; Maharaj, Shamiek; Segal, Bradley Max; Mahomed, Nasreen",Pediatric radiology,2026 Jun 3,10.1007/s00247-026-06671-6,Journal Article,,"BACKGROUND: Paediatric chest imaging is central to diagnosing respiratory and cardiopulmonary disease, particularly in low- and middle-income countries (LMICs) where pneumonia remains a leading cause of childhood mortality and radiology expertise is scarce. Artificial intelligence (AI) could expand access, standardise quality and support task-shifting in these ""diagnostic deserts,"" yet most systems are trained and validated on adult datasets from high-income settings, and paediatric radiographs form only a small minority of major public training cohorts - raising concerns about safety, generalisability and equity when such models are deployed in children. OBJECTIVE: To synthesise current applications of AI across paediatric chest radiography, lung ultrasound, computed tomography and MRI, with emphasis on LMIC workflows, and to define what is required for safe, paediatric-specific deployment. MATERIALS AND METHODS: Narrative/pictorial review of the published literature, complemented by the authors' real-world evaluation of a generalist vision-language model (MedGemma) on adult and paediatric chest radiographs, illustrated with representative clinical cases. RESULTS: Beyond diagnosis, AI shows potential in quality assurance, lung-ultrasound guidance and multilingual reporting. Real-world experience from CAD4Kids and from MedGemma's evaluation - including critical failures in detecting pericardial effusion and tuberculosis without explicit clinical context - illustrates common failure modes and the ethical implications of domain shift. Key challenges include infrastructure constraints, dataset scarcity and the need for age-aware, explainable models. CONCLUSION: Rather than adapting adult systems, future tools must be designed from inception for children and the environments in which they live, prioritising federated learning, multimodal integration, robust validation across age strata and multilingual communication with caregivers.",https://pubmed.ncbi.nlm.nih.gov/42233989/
42231937,Beyond Diagnosis: Evaluating Multimodal LLMs for Pathology Localization in Chest Radiographs.,"Gosai, Advait; Kavishwar, Arun; McNamara, Stephanie L; Samineni, Soujanya; Umeton, Renato; Chowdhury, Alexander; Lotter, William",Proceedings of machine learning research,2025 Dec,,Journal Article,,"Recent work has shown promising performance of frontier large language models (LLMs) and their multimodal counterparts in medical quizzes and diagnostic tasks, highlighting their potential for broad clinical utility given their accessible, general-purpose nature. However, beyond diagnosis, a fundamental aspect of medical image interpretation is the ability to localize pathological findings. Evaluating localization not only has clinical and educational relevance but also provides insight into a model's spatial understanding of anatomy and disease. Here, we systematically assess two general-purpose MLLMs (GPT-4 and GPT-5) and a domain-specific model (MedGemma) in their ability to localize pathologies on chest radiographs, using a prompting pipeline that overlays a spatial grid and elicits coordinate-based predictions. Averaged across nine pathologies in the CheXlocalize dataset, GPT-5 exhibited a localization accuracy of 49.7%, followed by GPT-4 (39.1%) and MedGemma (17.7%), all lower than a task-specific CNN baseline (59.9%) and a radiologist benchmark (80.1%). Despite modest performance, error analysis revealed that GPT-5's predictions were largely in anatomically plausible regions, just not always precisely localized. GPT-4 performed well on pathologies with fixed anatomical locations, but struggled with spatially variable findings and exhibited anatomically implausible predictions more frequently. MedGemma demonstrated the lowest performance on all pathologies, but showed improvements when provided examples through few shot prompting. Our findings highlight both the promise and limitations of current MLLMs in medical imaging and underscore the importance of integrating them with task-specific tools for reliable use.",https://pubmed.ncbi.nlm.nih.gov/42231937/
42205157,OMAMA-DB: the Oregon-Massachusetts Mammography Database.,"Kanamarlapudi, Avanith; Zurrin, Ryan; Gaibor, Edward; Gutierrez, Benjamin Bendiksen; Goyal, Neha; Narayanapa, Vidhya Sree; Simovici, Dan; Haspel, Nurit; Pomplun, Marc; Lee, Hyunkwang; Bandler, Mack; Sorensen, Greg; Haehn, Daniel","Journal of medical imaging (Bellingham, Wash.)",2026 Nov,10.1117/1.JMI.13.6.062205,Journal Article,,"PURPOSE: Public datasets for training artificial intelligence (AI) models in breast cancer screening are limited in size and quality, making it difficult to develop reliable systems. We introduce OMAMA-DB, an extensive publicly available collection of two-dimensional (2D) mammograms and three-dimensional (3D) tomosynthesis volumes. APPROACH: Starting from 967,991 images, we created a curated set of 231,080 images using a multi-stage filtering process that removes missing labels, uncommon dimensions, rare scanner types, duplicate studies, and invalid DICOM files. All 2D images then undergo additional outlier detection using histogram filtering and a variational autoencoder to remove low-quality outliers. OMAMA-DB includes pathology-based cancer labels and automated lesion annotations generated using DeepSight. We also provide a web-based annotation tool for expert validation. To demonstrate usability, we fine-tuned MedGemma on a balanced subset of OMAMA-DB. We conducted a preliminary user study comparing human and automated classification of real and synthetic mammograms. RESULTS: OMAMA-DB contains 231,080 images, including 7351 2D and 374 3D cancer cases. Fine-tuned MedGemma achieved 0.989 accuracy, 0.997 sensitivity, and an F1 score of 0.989 on a balanced validation set of 2942 images. In real-versus-synthetic classification, humans achieved 0.485 accuracy, and logistic regression and convolutional neural network achieved 0.972 and 0.997, respectively. CONCLUSIONS: OMAMA-DB provides a large mammography dataset with pathology-based labels and automated lesion annotations to support medical imaging research. Fine-tuned foundation models demonstrate strong cancer classification performance, and the gap between human and automated detection of synthetic images highlights the importance of real clinical data. All data, models, and parameters are openly available for research use.",https://pubmed.ncbi.nlm.nih.gov/42205157/
42196870,Comparative Analysis of General-Purpose vs. Domain-Specific Multimodal Models for Diabetic Retinopathy Classification.,"Nouyed, Mohammad Iqbal; Al-Mamun, Mohammad; Adjeroh, Donald A; Hu, Gangqing","Diagnostics (Basel, Switzerland)",2026 May 15,10.3390/diagnostics16101504,Journal Article,,"Background/Objectives: General-purpose and domain-specific multimodal foundation models show considerable promise in medical image analysis. In this study, we evaluated the classification accuracy of diabetic retinopathy vs. normal fundus images using general-purpose conversational models (Gemini 3 Flash, GPT-5.2, and Pixtral-Large), a medical conversational model (MedGemma-1.5), and its image-encoder (MedSigLIP), as well as ophthalmology-specific models (RETFound and EyeCLIP). Methods: We applied zero-/few-shot to general-purpose conversational models, linear probing, and fine-tuning approaches to domain-specific models for evaluation purposes. Results: We found that the zero-shot accuracies for Pixtral-Large (70.7%) and fine-tuned RETFound (77.1%) were comparable but lower than those of GPT-5.2 (77.9%), MedGemma-1.5 (88.2%), and Gemini 3 (88.5%) as well as the fine-tuned EyeCLIP (85.8%) and MedSigLIP (94.8%). The accuracy gains from few-shot prompting were substantial for Pixtral-Large (+7.4%) but were limited for GPT-5.2 (+3.6%), Gemini 3 (-3.4%), and MedGemma-1.5 (-1.1%). Embedding-based linear probing further improved accuracy over fine-tuning for RETFound (+9.7%) and yielded only marginal gains for EyeCLIP (+2.3%) but did not benefit MedSigLIP (-0.8%). Overall, with minimal prompting enhancement, general-purpose conversational models such as Gemini 3 and GPT-5.2 achieved performance comparable to ophthalmology-specific models that were either fine-tuned or enhanced via embedding-based linear probing, but remained inferior to MedSigLIP and its conversational counterpart, MedGemma-1.5. Conclusions: The findings highlight a trade-off between specialization and flexibility, where domain-specific models provide higher accuracy and stability, while general-purpose multimodal models offer greater accessibility, adaptability, and interactive reasoning, serving as complementary tools for retinal disease screening and clinical decision support.",https://pubmed.ncbi.nlm.nih.gov/42196870/
42189215,Cultural bias in large language models' ability to follow neuroradiology guidelines.,"Bazerbachi, Nael; Bentegeac, Raphael; Pistilli, Giada; Kim, Su-Hwan; Amouyel, Philippe; Pruvo, Jean-Pierre; Hacein-Bey, Lotfi; Hamroun, Aghiles; Kuchcinski, Gregory; Le Guellec, Bastien",European radiology,2026 May 26,10.1007/s00330-026-12634-0,Journal Article,,"OBJECTIVES: Large language models (LLMs) are increasingly explored as decision-support tools in medical imaging. However, their ability to align with country-specific guidelines, which often diverge, remains uncertain. We set out to evaluate the geographic neutrality of three state-of-the-art LLMs-GPT-o3, Mistral Large, and DeepSeek R1-and a biomedical LLM (MedGemma 1.5 4B), when applied to neuroradiology scenarios with conflicting U.S. and non-U.S. MATERIALS AND METHODS: Vignettes derived from contradictory international guidelines were presented to each model under two conditions: an implicit setting, where no guideline was specified and vignettes were provided in English and French; and an explicit setting, where prompts directed models to follow a named guideline. Performance was reviewed against the target guideline, and mitigation strategies were tested. RESULTS: Thirty clinical vignettes presenting conflicting guidelines were evaluated by GPT-o3, Mistral Large, and DeepSeek R1. In the implicit setting, all models favored U.S. guidelines, with GPT-o3, Mistral, and DeepSeek aligning with them in 27 of 30 scenarios (90.0%; 95% CI, 74.4-96.5). In the explicit setting, adherence declined sharply for non-U.S. recommendations for all models. Providing the complete guideline text was the most effective mitigation strategy, restoring accuracies above 90% across all models. CONCLUSION: Across languages and model origins, LLMs exhibited a systematic bias toward U.S. neuroradiology guidelines, even when explicitly instructed otherwise. This U.S.-centrism likely reflects training data imbalances and raises concerns for safe global deployment. Strategies for local contextualization, such as guideline integration at deployment, are necessary to ensure context-appropriate clinical decision support. KEY POINTS: Question Do large language models display geographical neutrality in neuroradiology decision support? Findings Even models developed in France and China systematically preferred United States guidelines, aligning with them in most implicit scenarios while failing to follow explicit guidelines from other sources. Clinical relevance This systematic United States-centric bias poses clinical and legal risks for global deployment. Safe implementation requires specific localization strategies, such as providing full guideline texts, to ensure recommendations align with local practice standards.",https://pubmed.ncbi.nlm.nih.gov/42189215/
42174988,Extraction of Endoscopic Markers from Clinical Notes in Italian Patients with Autoimmune Atrophic Gastritis Using Small Language Models.,"Bergomi, Laura; Buonocore, Tommaso Mario; Parimbelli, Enea; Lenti, Marco Vincenzo; Santacroce, Giovanni; di Sabatino, Antonio; Pala, Daniele",Studies in health technology and informatics,2026 May 21,10.3233/SHTI260314,Journal Article,"Humans; Italy; *Gastritis, Atrophic/diagnosis; *Natural Language Processing; *Autoimmune Diseases/diagnosis; *Electronic Health Records; Large Language Models; Biomarkers; *Data Mining/methods","While Large Language Models (LLMs) hold great potential for clinical applications, their use is limited by concerns regarding data privacy, high computational demand, and the risk of hallucinations. Small Language Models (SLMs) are a promising solution, enabling efficient and secure on-device processing. This study presents the application of a local IT5 model finetuned to extract endoscopic markers from Italian annotated clinical notes of patients with Autoimmune Atrophic Gastritis (AAG). The results show that this model performs competitively with both GPT-4o mini-a general-purpose model-and MedGemma-a medical-oriented model-in this specific task, achieving high sensitivity, which is crucial for rare disease detection. These findings highlight the advantages of local, task-specific SLMs for privacy-preserving applications within healthcare settings.",https://pubmed.ncbi.nlm.nih.gov/42174988/
42153777,Identification of Risk Factors for Glaucoma Progression in Free-Text Clinical Notes Using a Local Large Language Model.,"Bhatnagar, Anshul; Scherer, Rafael; Samico, Gustavo A; Muralidhar, Rohit; Gutkind, Naomi E; Palazoni, Vitoria; Medeiros, Felipe A; Swaminathan, Swarup S",Translational vision science & technology,2026 May 1,10.1167/tvst.15.5.13,Journal Article,*Large Language Models; Humans; *Electronic Health Records/statistics & numerical data; *Glaucoma/drug therapy/physiopathology/diagnosis; Risk Factors; Disease Progression; Male; Female; Middle Aged; Medication Adherence,"PURPOSE: To evaluate the performance of a large language model (LLM) in identifying medication non-adherence, visit non-adherence, and family history of glaucoma (FHoG) in clinical notes from the electronic health record (EHR). METHODS: We extracted clinical notes of 1250 glaucoma-related encounters between 2014 and 2024 and structured EHR family history field data from the Bascom Palmer Ophthalmic Repository; of these, 125 randomly selected notes (10%) were used for prompt development and were excluded from analysis. Two fellowship-trained glaucoma specialists labeled notes for evidence of non-adherence and FHoG, which was used as the reference standard. We utilized MedGemma-27B-text-it, a specialized medical LLM, to identify medication non-adherence, visit non-adherence, and FHoG. We calculated accuracy, sensitivity, and specificity of LLM performance for each task, the Jaccard index for FHoG, and the mean squared error (MSE) of number of family members with glaucoma. RESULTS: Prevalence of medication non-adherence, visit non-adherence, and FHoG were 7.3%, 4.7%, and 29.2%, respectively. LLM accuracy was 0.91 (sensitivity, 0.96; specificity, 0.91) for medication non-adherence and 0.96 (sensitivity, 0.97; specificity, 0.94) for visit non-adherence. For FHoG, LLM accuracy was 0.98 (sensitivity, 0.99; specificity, 0.99) with a Jaccard index of 0.99, whereas EHR family history field accuracy and Jaccard index were 0.49 and 0.75, respectively. LLM and EHR MSE in quantifying the number of relatives with glaucoma were 0.05 +/- 0.56 and 0.85 +/- 1.80, respectively (P < 0.001). CONCLUSIONS: LLMs identified non-adherence to medication and visit schedules, as well as degree of FHoG, in clinical notes with high accuracy. TRANSLATIONAL RELEVANCE: Local LLM pipelines can enable large-scale research into glaucoma risk factors that are unavailable in discrete EHR fields.",https://pubmed.ncbi.nlm.nih.gov/42153777/
42108741,Performance of multimodal large language models for the detection and characterization of bone lesions on radiographs.,"Buyuktoka, Rasit Eren; Salbas, Ali; Cilengir, Atilla Hikmet; Buyuktoka, Asli Dilara; Surucu, Murat; Adibelli, Zehra Hilal","Diagnostic and interventional radiology (Ankara, Turkey)",2026 May 11,10.4274/dir.2026.263945,Journal Article,,"PURPOSE: Multimodal large language models (LLMs) offer emerging capabilities in medical image interpretation; however, their efficacy in orthopedic oncology remains unverified. This study aimed to evaluate and benchmark the performance of five contemporary LLMs-ChatGPT 5.2, Gemini 3 Flash, MedGemma 4B, Claude Sonnet 4.6, and DeepSeek-VL2-in detecting and characterizing bone lesions on plain radiographs without task-specific fine-tuning. METHODS: A retrospective analysis was conducted using 3,746 anonymized images from the Bone Tumor X-ray Radiograph Dataset (BTXRD), comprising normal, benign, and malignant cases. Reference standard annotations were provided directly by the BTXRD dataset. Models were evaluated on two tasks: lesion detection and lesion characterization. Diagnostic performance metrics, including accuracy, precision, sensitivity, specificity, and Cohen's kappa, were calculated and compared with reference-standard annotations. RESULTS: ChatGPT 5.2 demonstrated the highest overall accuracy (0.803) and specificity among the models (0.916) for lesion detection, although its sensitivity (0.689) was comparatively low. MedGemma 4B showed relatively low performance, with an overall accuracy of 0.677. Claude Sonnet 4.6 and Gemini 3 Flash had the highest sensitivities among the models (0.991 and 0.972, respectively) but low specificities (0.038 and 0.201, respectively), resulting in excessive false positives. In the characterization task, ChatGPT 5.2 consistently achieved the highest performance among the models, with an accuracy of 0.758 and a weighted F1 score of 0.745. DeepSeek-VL2 achieved high specificity but very low sensitivity for malignancy (0.714 and 0.022, respectively). Gemini 3 Flash provided high sensitivity for malignancy (0.711) but low overall accuracy. CONCLUSION: Multimodal LLMs demonstrated heterogeneous performance in the evaluation of bone lesions on plain radiographs, with substantial differences across models and tasks. Although some models achieved high accuracy in lesion detection and overall classification, performance was inconsistent across tasks, particularly in identifying malignant lesions and balancing sensitivity and specificity. These findings suggest that, despite their potential, current multimodal LLMs are not yet sufficiently reliable for diagnostic use in orthopedic oncology and should be considered investigational until further development and validation. CLINICAL SIGNIFICANCE: Multimodal LLMs currently lack the diagnostic reliability required for bone lesion assessment, often exhibiting excessive false positives or failing to detect malignancy. Although generalist models show promise, expert radiologist oversight remains essential to ensure patient safety and oncologic accuracy in musculoskeletal imaging.",https://pubmed.ncbi.nlm.nih.gov/42108741/
42106063,Confidence-Accuracy Alignment in Cardiology Knowledge: Comparing Medical-Specific and General-Purpose Large Language Models Using ACCSAP.,"Zidan, Ali; El-Sururi, Mousa; Belbase, Avi; Saleh, Yazan; Kalasipudi, Rohan; Al-Rawi, Reem; Malik, Abdulaziz; Gupta, Shyla; Perez, Marco V",The American journal of cardiology,2026 Aug 1,10.1016/j.amjcard.2026.04.065,Comparative Study; Journal Article,*Large Language Models; Humans; *Cardiology/education; Reproducibility of Results; *Clinical Competence; Generative Artificial Intelligence; Self-Assessment,"Large language models (LLMs) are increasingly integrated into healthcare, yet their clinical reliability depends not only on accuracy but also on confidence calibration. General-purpose models have demonstrated strong performance on medical knowledge tasks, while medical-specific models are designed to offer domain alignment. Whether specialization improves clinically meaningful reliability remains unclear. Cardiology, with its complex case-based reasoning, provides a high-stakes test domain. To compare general-purpose and medical-specific LLMs on a standardized cardiology knowledge benchmark, with emphasis on diagnostic accuracy, confidence calibration, uncertainty, and fidelity. A total of 365 text-based questions from the Adult Clinical Cardiology Self-Assessment Program (ACCSAP) were evaluated after exclusion of image-dependent items. ChatGPT-4o and Gemini 2.5 Pro represented general-purpose models, while MedGemma 27B served as a medically fine-tuned comparator. Models received a standardized structured prompt eliciting stepwise reasoning, final answer selection, and self-reported confidence, uncertainty, and fidelity. Statistical comparisons included chi-square testing, nonparametric analyses, correlation coefficients, and Brier scores for calibration. Accuracy differed significantly by model (chi-square = 58.26, p < 0.001): Gemini achieved 87% (95% CI 84% to 91%), ChatGPT 85% (81% to 89%), and MedGemma 67% (62% to 71%). All models reported high confidence, but calibration was modest. Mean confidence differed only slightly between correct and incorrect responses (absolute differences <3%). Brier scores indicated imperfect calibration (Gemini 0.115, ChatGPT 0.137, MedGemma 0.262). ChatGPT demonstrated the strongest confidence-accuracy correlation (r = 0.80, p = 0.005), while Gemini and MedGemma showed weak or nonsignificant alignment. MedGemma exhibited higher uncertainty and lower fidelity across categories. Performance varied by subspecialty, with generalist models outperforming in integrative domains. General-purpose LLMs outperformed a medical-specific model on text-based cardiology assessment, suggesting that large-scale general training may confer advantages in complex clinical reasoning. However, all models showed clinically limited confidence calibration, indicating that self-reported certainty is an unreliable indicator of correctness. Until uncertainty estimation improves, LLM use in cardiology should remain supportive and clinician-supervised.",https://pubmed.ncbi.nlm.nih.gov/42106063/
42081405,MediPhen: Prompt-Based LLM Reasoning with Synthesized Multimodal Clinical Knowledge for Zero-Shot Multi-morbidity Phenotyping.,"Priyadarshana, Y H P P; Zhou, Nina; Krishnaswamy, Pavitra; Ridong, Jiang; Liang, Zilu",IEEE journal of biomedical and health informatics,2026 May 4,10.1109/JBHI.2026.3689887,Journal Article,,"Clinical decision support using heterogeneous electronic health records (EHRs) is a well-established yet rapidly expanding research area. Large language model (LLM)-driven approaches have shown dominant performance in processing unstructured data such as clinical notes for disease phenotype classification. However, the absence of a unified reasoning framework capable of integrating structured laboratory results with unstructured clinical notes under zero-shot conditions limits progress in multimodal clinical decision support. To address this gap, we propose MediPhen, a novel reasoning framework that transfers LLMs for multi-morbidity disease phenotyping using multimodal clinical data. MediPhen introduces a framework for adapting LLMs to zero-shot disease phenotyping by incorporating extracted clinical entities, their relations, and lab narratives from EHRs, integrating a clinical knowledgebase to guide phenotype classification and enhance LLM transfer learning performance, and an explanation module that leverages chain-of-thought prompting to improve clinical reasoning. Comprehensive experiments conducted on MIMIC-III and MIMIC-IV benchmarks across multiple LLMs demonstrate the effectiveness of MediPhen. Notably, MedGemma-27B achieved state-of-the-art performance, improving micro averaged F1 scores by 19.92% on MIMIC-III and 16.68% on MIMIC-IV compared to fine-tuned baselines. These results highlight MediPhen as a zero-shot screening tool for multi morbidity phenotype classification, scalable within research infrastructures, advancing integration of structured and unstructured EHR data in clinical AI.",https://pubmed.ncbi.nlm.nih.gov/42081405/
42021753,Artificial Intelligence in Occupational Health Surveillance: Evaluating AI-Assisted ILO Classification of Radiographs of Pneumoconioses.,"Baldassarre, Antonio; Padovan, Martina; Palla, Alessandro; Quercia, Augusto; Leonori, Rita; Dugheri, Stefano; Mucci, Nicola; Traversini, Veronica",La Medicina del lavoro,2026 Apr 22,10.23749/mdl.2026.18371,Evaluation Study; Journal Article,"Humans; *Artificial Intelligence; *Pneumoconiosis/diagnostic imaging/classification; *Occupational Health; *Radiography, Thoracic/classification; Sensitivity and Specificity; Generative Artificial Intelligence","BACKGROUND: Pneumoconioses remain an important occupational health issue, particularly in low- and middle-income countries. The International Labour Organization (ILO) Classification standardizes chest radiograph interpretation but requires trained readers and is affected by inter-reader variability. This study evaluated whether generative multimodal artificial intelligence (AI) models can approximate ILO-based diagnostic reasoning. METHODS: Eighty-two chest radiographs from the official NIOSH B Reader syllabus were analysed using four AI systems (GPT-4o, GPT-5, MedGemma-4B, MedGemma-27B). Each image was evaluated with a standardized prompt based on the 2022 revised ILO guidelines using deterministic settings. Model outputs were mapped to ILO codes and compared with the official answer keys of the ILO Standard Radiograph Set used for B Reader training and examination. Performance metrics included balanced accuracy, sensitivity, specificity, precision, and Matthews correlation coefficient (MCC). Bootstrap 95% confidence intervals, McNemar's test, and Cohen's kappa assessed performance variability and agreement. RESULTS: All four AI models showed moderate diagnostic performance, with balanced accuracy ranging from 60.8% to 70.3%. Sensitivity remained limited (35.5%-54.9%), while specificity was consistently high (84.6%-86.2%). MedGemma-27B performed best for small opacities, GPT-5 for pleural abnormalities and for technical quality. Large opacities and rare findings were systematically under-detected. Statistical comparisons showed significant differences between models, although agreement patterns were broadly similar. CONCLUSION: All AI models partially followed structured ILO radiographic criteria but did not achieve expert-level performance, confirming that they cannot replace certified B Readers. Larger, real-world datasets are needed to assess their potential clinical utility as supportive tools in occupational health surveillance programs.",https://pubmed.ncbi.nlm.nih.gov/42021753/
41981155,PsychiatryBench: a multi-task benchmark for LLMs in psychiatry.,"Fouda, Aya E; Hassan, Abdelrahman A; Hanafy, Radwa J; Fouda, Mohammed E",NPJ digital medicine,2026 Apr 14,10.1038/s41746-026-02582-w,Journal Article,,"Large language models (LLMs) offer significant potential in enhancing psychiatric practice, from improving diagnostic accuracy to streamlining clinical documentation and therapeutic support. However, existing evaluation resources heavily rely on small clinical interview corpora, social media posts, or synthetic dialogs, which limit their clinical validity and fail to capture the full complexity of diagnostic reasoning. In this work, we introduce PsychiatryBench, a rigorously curated benchmark grounded exclusively in authoritative, expert-validated psychiatric textbooks and casebooks. PsychiatryBench comprises eleven distinct question-answering tasks ranging from diagnostic reasoning and treatment planning to longitudinal follow-up, management planning, clinical approach, sequential case analysis, and multiple-choice/extended matching formats totaling 5,188 expert-annotated items. We evaluate a diverse set of frontier LLMs (including Google Gemini, DeepSeek, Sonnet 4.5, and GPT 5) alongside leading open-source medical models such as MedGemma using both conventional metrics and an ""LLM-as-judge"" similarity scoring framework. Our results reveal substantial gaps in clinical consistency and safety, particularly in multi-turn follow-up and management tasks, underscoring the need for specialized model tuning and more robust evaluation paradigms. PsychiatryBench offers a modular, extensible platform for benchmarking and improving LLM performance in mental health applications.",https://pubmed.ncbi.nlm.nih.gov/41981155/
41975795,Leveraging Large Language Models for Automated Extraction of Abdominal Aortic Aneurysm Features from Radiology Reports.,"Mukherjee, Praneel; Lee, Ryan C; Hadidchi, Roham; Henry, Sonya; Coard, Michael; Davis, Matthew; Rubinov, Yossef; Nguyen-Luong, Ha; Katz, Leah; Duong, Tim Q","Diagnostics (Basel, Switzerland)",2026 Apr 3,10.3390/diagnostics16071083,Journal Article,,"Background/Objectives. Abdominal computed tomography (CT) radiology reports contain critical information for abdominal aortic aneurysm (AAA) management, including aneurysm presence, size, rupture status, and prior repair. However, this information is often embedded within lengthy, heterogeneous reports, making manual extraction inefficient. We evaluated the performance of multiple large language models (LLMs) for automated extraction of AAA-related findings from radiology reports. Methods. We retrospectively analyzed 500 abdominal CT reports mentioning AAA from an urban academic health system (2020-2024). Ground truth labels were established by manual review. Four open-source LLMs (Qwen2.5-7B-Instruct, Llama3-Med42-8B, GPT-OSS-20B, and MedGemma-27B-text-it) were evaluated for extraction of aneurysm presence, size, morphology, rupture status, impending rupture, and prior aortic repair. Model outputs were compared with ground truth using exact-match accuracy, and inter-model agreement was assessed using Fleiss' kappa. Reasoning traces were examined to characterize correct and incorrect model behavior. Results. Accuracy for identifying AAA presence ranged from 0.90 to 0.95 (kappa = 0.851), and prior aortic repair from 0.90 to 0.97 (kappa = 0.793). Accuracy for aneurysm size ranged from 0.67 to 0.88 (kappa = 0.340), with low kappa's due to class imbalance or dimension misselection. Rupture and impending rupture were identified with accuracies exceeding 0.90 across models, though agreement was lower (kappa = 0.485 and 0.589), reflecting low event prevalence. Larger models (GPT-OSS-20B, MedGemma-27B) generally outperformed smaller models. Reasoning analysis revealed strengths in measurement prioritization but recurrent errors, including dimension misselection, over-inference of prior repair, and conservative classification of rupture-related findings. Conclusions. LLMs can accurately extract clinically relevant AAA information from radiology reports with interpretable reasoning, with larger and medically trained models outperforming smaller or general-purpose models. Performance varies by task and model, underscoring the need for careful validation and human-in-the-loop deployment in clinical settings.",https://pubmed.ncbi.nlm.nih.gov/41975795/
